ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.50	192.168.1.40	28778	5.695419000
192.168.1.50	192.168.1.40	28933	5.710622000
192.168.1.50	192.168.1.40	28934	5.710630000
192.168.1.50	192.168.1.40	28935	5.710634000
192.168.1.50	192.168.1.40	28948	5.711318000
192.168.1.50	192.168.1.40	29041	5.720952000
192.168.1.50	192.168.1.40	29406	5.765453000
192.168.1.50	192.168.1.40	29437	5.770918000
192.168.1.50	192.168.1.40	29492	5.781513000
192.168.1.50	192.168.1.40	29574	5.785962000
192.168.1.50	192.168.1.40	29576	5.785975000
192.168.1.50	192.168.1.40	29581	5.786131000
192.168.1.50	192.168.1.40	29637	5.790765000
192.168.1.50	192.168.1.40	29673	5.796515000
192.168.1.50	192.168.1.40	30058	5.841134000
192.168.1.50	192.168.1.40	30059	5.841142000
192.168.1.50	192.168.1.40	30138	5.850902000
192.168.1.50	192.168.1.40	30250	5.861162000
192.168.1.50	192.168.1.40	30251	5.861170000
192.168.1.50	192.168.1.40	30252	5.861306000
192.168.1.50	192.168.1.40	30295	5.866807000
192.168.1.50	192.168.1.40	30392	5.876751000
192.168.1.50	192.168.1.40	30707	5.911650000
192.168.1.50	192.168.1.40	30743	5.917165000
192.168.1.50	192.168.1.40	30774	5.921602000
192.168.1.50	192.168.1.40	30868	5.931716000
192.168.1.50	192.168.1.40	30874	5.931879000
192.168.1.50	192.168.1.40	30935	5.936949000
192.168.1.50	192.168.1.40	30948	5.937607000
192.168.1.50	192.168.1.40	31076	5.952662000
192.168.1.50	192.168.1.40	31363	5.987935000
192.168.1.50	192.168.1.40	31519	6.008025000
